;id;full_name;first_name;last_name;is_active
380;76189;Ray Blume;Ray;Blume;False
381;76190;Nelson Bobb;Nelson;Bobb;False
382;2800;Tony Bobbitt;Tony;Bobbitt;False
383;76191;Arlen Bockhorn;Arlen;Bockhorn;False
384;1631205;Buddy Boeheim;Buddy;Boeheim;True
385;76192;Tom Boerwinkle;Tom;Boerwinkle;False
386;2586;Keith Bogans;Keith;Bogans;False
387;203992;Bogdan Bogdanovic;Bogdan;Bogdanovic;True
388;202711;Bojan Bogdanovic;Bojan;Bogdanovic;True
389;177;Muggsy Bogues;Muggsy;Bogues;False
390;101106;Andrew Bogut;Andrew;Bogut;False
391;1564;Etdrick Bohannon;Etdrick;Bohannon;False
392;1629626;Bol Bol;Bol;Bol;True
393;76195;Manute Bol;Manute;Bol;False
394;1628413;Jonah Bolden;Jonah;Bolden;False
395;1629716;Marques Bolden;Marques;Bolden;True
396;76196;Bill Bolger;Bill;Bolger;False
397;1630195;Leandro Bolmaro;Leandro;Bolmaro;True
398;1627762;Joel Bolomboy;Joel;Bolomboy;False
399;76197;Doug Bolstorff;Doug;Bolstorff;False
400;76203;George H. Bon Salle;George H.;Bon Salle;False
401;76198;Phil Bond;Phil;Bond;False
402;1603;Walter Bond;Walter;Bond;False
403;1629648;Jordan Bone;Jordan;Bone;False
404;1121;Dexter Boney;Dexter;Boney;False
405;1629067;Isaac Bonga;Isaac;Bonga;False
406;76201;Ron Bonham;Ron;Bonham;False
407;41;Anthony Bonner;Anthony;Bonner;False
408;2588;Matt Bonner;Matt;Bonner;False
409;1626164;Devin Booker;Devin;Booker;True
410;511;Melvin Booker;Melvin;Booker;False
411;202344;Trevor Booker;Trevor;Booker;False
412;200767;Josh Boone;Josh;Boone;False
413;76204;Ron Boone;Ron;Boone;False
414;1916;Calvin Booth;Calvin;Booth;False
415;1522;Keith Booth;Keith;Booth;False
416;76206;Bob Boozer;Bob;Boozer;False
417;2430;Carlos Boozer;Carlos;Boozer;False
418;2414;Curtis Borchardt;Curtis;Borchardt;False
419;76207;Jake Bornheimer;Jake;Bornheimer;False
420;1953;Lazaro Borrell;Lazaro;Borrell;False
421;76209;Costic Borsavage;Costic;Borsavage;False
422;76210;Vince Boryla;Vince;Boryla;False
423;2547;Chris Bosh;Chris;Bosh;False
424;76211;Jim Bostic;Jim;Bostic;False
425;1630527;Brandon Boston;Brandon;Boston;True
426;76212;Lawrence Boston;Lawrence;Boston;False
427;76213;Tom Boswell;Tom;Boswell;False
428;1628449;Chris Boucher;Chris;Boucher;True
429;1630547;James Bouknight;James;Bouknight;True
430;2257;Ruben Boumtje-Boumtje;Ruben;Boumtje-Boumtje;False
431;1631123;Jamaree Bouyea;Jamaree;Bouyea;True
432;76214;Don Boven;Don;Boven;False
433;1898;Cal Bowdler;Cal;Bowdler;False
434;1477;Bruce Bowen;Bruce;Bowen;False
435;1763;Ryan Bowen;Ryan;Bowen;False
436;1628968;Brian Bowen II;Brian;Bowen II;False
437;194;Anthony Bowie;Anthony;Bowie;False
438;76217;Sam Bowie;Sam;Bowie;False
439;1085;Ira Bowman;Ira;Bowman;False
440;1629065;Ky Bowman;Ky;Bowman;False
441;76219;Nate Bowman;Nate;Bowman;False
442;671;Donnie Boyce;Donnie;Boyce;False
443;76221;Dennis Boyd;Dennis;Boyd;False
444;76222;Fred Boyd;Fred;Boyd;False
445;76223;Ken Boyd;Ken;Boyd;False
446;1863;Earl Boykins;Earl;Boykins;False
447;76224;Harry Boykoff;Harry;Boykoff;False
448;76225;Winford Boynes;Winford;Boynes;False
449;200841;Cedric Bozeman;Cedric;Bozeman;False
450;76226;Steve Bracey;Steve;Bracey;False
451;202342;Craig Brackins;Craig;Brackins;False
452;76227;Gary Bradds;Gary;Bradds;False
453;76228;Alex Bradley;Alex;Bradley;False
454;76229;Alonzo Bradley;Alonzo;Bradley;False
455;202340;Avery Bradley;Avery;Bradley;False
456;76233;Bill Bradley;Bill;Bradley;False
457;76230;Charles Bradley;Charles;Bradley;False
458;76231;Dudley Bradley;Dudley;Bradley;False
459;76232;Joe Bradley;Joe;Bradley;False
460;2214;Michael Bradley;Michael;Bradley;False
461;762;Shawn Bradley;Shawn;Bradley;False
462;1628396;Tony Bradley;Tony;Bradley;True
463;1361;Mark Bradtke;Mark;Bradtke;False
464;66;Marques Bragg;Marques;Bragg;False
465;1765;Torraye Braggs;Torraye;Braggs;False
466;1920;A.J. Bramlett;A.J.;Bramlett;False
467;76237;Adrian Branch;Adrian;Branch;False
468;1882;Elton Brand;Elton;Brand;False
469;210;Terrell Brandon;Terrell;Brandon;False
470;1631103;Malaki Branham;Malaki;Branham;True
471;76238;Bob Brannum;Bob;Brannum;False
472;76239;Brad Branson;Brad;Branson;False
473;76240;Jesse Branson;Jesse;Branson;False
474;1629714;Jarrell Brantley;Jarrell;Brantley;False
475;76241;Jim Brasco;Jim;Brasco;False
476;76242;Mike Bratz;Mike;Bratz;False
477;76243;Carl Braun;Carl;Braun;False
478;1631128;Christian Braun;Christian;Braun;True
