;Rank;Player;Age;Tm;First;Pts Won;Pts Max;Share;G;MP;PTS;TRB;AST;STL;BLK;FG%;3P%;FT%;WS;WS/48;DWS;DBPM;DRtg;
1;2;Kevin Garnett;34;BOS;1.0;77.0;600;0.128;71;31.3;14.9;8.9;2.4;1.3;0.8;0.528;0.2;0.862;9.0;0.194;5.6;2.9;95;2011
2;3;Tyson Chandler;28;DAL;0.0;70.0;600;0.117;74;27.8;10.1;9.4;0.4;0.5;1.1;0.654;;0.732;9.4;0.218;3.5;1.0;102;2011
3;4;Tony Allen;29;MEM;0.0;53.0;600;0.088;72;20.8;8.9;2.7;1.4;1.8;0.6;0.51;0.174;0.753;4.7;0.152;2.7;3.5;101;2011
4;5;Rajon Rondo;24;BOS;0.0;45.0;600;0.075;68;37.2;10.6;4.4;11.2;2.3;0.2;0.475;0.233;0.568;6.6;0.126;4.8;1.4;100;2011
5;6;Andrew Bogut;26;MIL;0.0;32.0;600;0.053;65;35.3;12.8;11.1;2.0;0.7;2.6;0.495;0.0;0.442;5.4;0.112;5.1;2.4;97;2011
6;7;Grant Hill;38;PHO;1.0;30.0;600;0.05;80;30.1;13.2;4.2;2.5;0.8;0.4;0.484;0.395;0.829;4.4;0.087;1.3;-0.3;111;2011
7;8;Andre Iguodala;27;PHI;0.0;29.0;600;0.048;67;36.9;14.1;5.8;6.3;1.5;0.6;0.445;0.337;0.693;6.7;0.13;3.5;1.6;104;2011
8;9;LeBron James;26;MIA;0.0;25.0;600;0.042;79;38.8;26.7;7.5;7.0;1.6;0.6;0.51;0.33;0.759;15.6;0.244;5.3;1.8;102;2011
9;10;Luol Deng;25;CHI;0.0;24.0;600;0.04;82;39.1;17.4;5.8;2.8;1.0;0.6;0.46;0.345;0.753;9.9;0.149;5.2;0.6;102;2011
10;11;Kobe Bryant;32;LAL;0.0;18.0;600;0.03;82;33.9;25.3;5.1;4.7;1.2;0.1;0.451;0.323;0.828;10.3;0.178;3.5;-0.2;105;2011
11;12T;Chuck Hayes;27;HOU;2.0;13.0;600;0.022;74;28.1;7.9;8.1;2.7;1.1;0.7;0.527;0.0;0.662;6.3;0.146;2.4;1.3;106;2011
12;12T;Chris Paul;25;NOH;0.0;13.0;600;0.022;80;36.0;15.9;4.1;9.8;2.4;0.1;0.463;0.388;0.878;13.9;0.232;4.4;2.8;103;2011
13;14;Serge Ibaka;21;OKC;0.0;12.0;600;0.02;82;27.0;9.9;7.6;0.3;0.4;2.4;0.543;0.0;0.75;7.6;0.164;3.2;0.7;104;2011
14;15;Joakim Noah;25;CHI;1.0;11.0;600;0.018;48;32.8;11.7;10.4;2.2;1.0;1.5;0.525;0.0;0.739;6.7;0.205;3.6;2.1;97;2011
15;16;Dwyane Wade;29;MIA;0.0;8.0;600;0.013;76;37.1;25.5;6.4;4.6;1.5;1.1;0.5;0.306;0.758;12.8;0.218;4.7;1.1;102;2011
16;17;Tim Duncan;34;SAS;0.0;7.0;600;0.012;76;28.4;13.4;8.9;2.7;0.7;1.9;0.5;0.0;0.716;7.7;0.171;4.0;2.2;100;2011
17;18;Metta World Peace;31;LAL;0.0;6.0;600;0.01;82;29.4;8.5;3.3;2.1;1.5;0.4;0.397;0.356;0.676;4.4;0.088;3.2;1.5;105;2011
18;19T;Keith Bogans;30;CHI;1.0;5.0;600;0.008;82;17.8;4.4;1.8;1.2;0.5;0.1;0.404;0.38;0.656;3.6;0.118;2.2;1.4;103;2011
19;19T;JaVale McGee;23;WAS;0.0;5.0;600;0.008;79;27.8;10.1;8.0;0.5;0.5;2.4;0.55;0.0;0.583;5.3;0.115;2.5;0.4;106;2011
20;21;Thabo Sefolosha;26;OKC;0.0;4.0;600;0.007;79;25.9;5.1;4.4;1.4;1.2;0.5;0.471;0.275;0.747;4.1;0.097;2.5;1.9;106;2011
21;22;Andrew Bynum;23;LAL;0.0;3.0;600;0.005;54;27.8;11.3;9.4;1.4;0.4;2.0;0.574;;0.66;6.6;0.21;2.8;1.4;100;2011
22;23T;Kenyon Martin;33;DEN;0.0;2.0;600;0.003;48;25.7;8.6;6.2;2.3;0.9;0.7;0.511;0.222;0.583;2.7;0.104;1.6;1.7;105;2011
23;23T;Gerald Wallace;28;TOT;0.0;2.0;600;0.003;71;37.9;15.7;8.0;2.4;1.5;0.9;0.454;0.333;0.746;6.2;0.111;3.6;1.1;105;2011
24;25;Josh Smith;25;ATL;0.0;1.0;600;0.002;77;34.4;16.5;8.5;3.3;1.3;1.6;0.477;0.331;0.725;6.4;0.116;4.5;1.7;102;2011
0;1;Tyson Chandler;29;NYK;45.0;311.0;605;0.514;62;33.2;11.3;9.9;0.9;0.9;1.4;0.679;0.0;0.689;9.5;0.22;3.6;1.1;99;2012
1;2;Serge Ibaka;22;OKC;41.0;294.0;605;0.486;66;27.2;9.1;7.5;0.4;0.5;3.7;0.535;0.333;0.661;6.2;0.167;3.2;2.3;98;2012
2;3;Dwight Howard;26;ORL;18.0;186.0;605;0.307;54;38.3;20.6;14.5;1.9;1.5;2.1;0.573;0.0;0.491;7.7;0.179;4.4;2.0;96;2012
3;4;LeBron James;27;MIA;7.0;112.0;605;0.185;62;37.5;27.1;7.9;6.2;1.9;0.8;0.531;0.362;0.771;14.5;0.298;4.5;2.7;97;2012
4;5;Kevin Garnett;35;BOS;2.0;44.0;605;0.073;60;31.1;15.8;8.2;2.9;0.9;1.0;0.503;0.333;0.857;6.9;0.178;4.3;2.5;94;2012
5;6;Tony Allen;30;MEM;4.0;36.0;605;0.06;58;26.3;9.8;4.0;1.4;1.8;0.6;0.469;0.308;0.8;4.2;0.131;2.5;2.3;100;2012
6;7;Andre Iguodala;28;PHI;1.0;33.0;605;0.055;62;35.6;12.4;6.1;5.5;1.7;0.5;0.454;0.394;0.617;7.3;0.158;4.2;2.5;98;2012
7;8;Shawn Marion;33;DAL;2.0;17.0;605;0.028;63;30.5;10.6;7.4;2.1;1.1;0.6;0.446;0.294;0.796;3.7;0.092;2.7;0.6;102;2012
8;9;Luol Deng;26;CHI;1.0;16.0;605;0.026;54;39.4;15.3;6.5;2.9;1.0;0.7;0.412;0.367;0.77;5.8;0.132;3.6;1.1;100;2012
9;10;Josh Smith;26;ATL;0.0;9.0;605;0.015;66;35.3;18.8;9.6;3.9;1.4;1.7;0.458;0.257;0.63;6.8;0.139;4.9;2.1;96;2012
10;11;Joakim Noah;26;CHI;0.0;6.0;605;0.01;64;30.4;10.2;9.8;2.5;0.6;1.4;0.508;0.0;0.748;9.0;0.223;4.2;2.1;96;2012
11;12T;Marc Gasol;27;MEM;0.0;5.0;605;0.008;65;36.5;14.6;8.9;3.1;1.0;1.9;0.482;0.083;0.748;8.2;0.166;4.0;2.1;99;2012
12;12T;Chris Paul;26;LAC;0.0;5.0;605;0.008;60;36.4;19.8;3.6;9.1;2.5;0.1;0.478;0.371;0.861;12.7;0.278;2.3;2.4;104;2012
13;14T;Avery Bradley;21;BOS;0.0;2.0;605;0.003;64;21.4;7.6;1.8;1.4;0.7;0.2;0.498;0.407;0.795;2.4;0.085;1.9;0.7;102;2012
14;14T;Mike Conley;24;MEM;0.0;2.0;605;0.003;62;35.1;12.7;2.5;6.5;2.2;0.2;0.433;0.377;0.861;6.4;0.141;2.8;1.4;102;2012
15;14T;Grant Hill;39;PHO;0.0;2.0;605;0.003;49;28.1;10.2;3.5;2.2;0.8;0.6;0.446;0.264;0.761;1.6;0.055;0.9;0.5;107;2012
16;14T;Iman Shumpert;21;NYK;0.0;2.0;605;0.003;59;28.9;9.5;3.2;2.8;1.7;0.1;0.401;0.306;0.798;2.4;0.068;2.5;1.6;101;2012
17;18T;Greg Monroe;21;DET;0.0;1.0;605;0.002;66;31.5;15.4;9.7;2.3;1.3;0.7;0.521;0.0;0.739;7.0;0.161;2.7;0.1;102;2012
18;18T;Dwyane Wade;30;MIA;0.0;1.0;605;0.002;49;33.2;22.1;4.8;4.6;1.7;1.3;0.497;0.268;0.791;7.7;0.227;2.9;1.9;99;2012
19;18T;Russell Westbrook;23;OKC;0.0;1.0;605;0.002;66;35.3;23.6;4.6;5.5;1.7;0.3;0.457;0.316;0.823;7.9;0.163;2.4;-0.7;105;2012
0;1;Marc Gasol;28;MEM;30.0;212.0;605;0.35;80;35.0;14.1;7.8;4.0;1.0;1.7;0.494;0.071;0.848;11.5;0.197;5.4;3.1;98;2013
1;2;LeBron James;28;MIA;18.0;149.0;605;0.246;76;37.9;26.8;8.0;7.3;1.7;0.9;0.565;0.406;0.753;19.3;0.322;4.7;2.4;101;2013
2;3;Serge Ibaka;23;OKC;14.0;122.0;605;0.202;80;31.1;13.2;7.7;0.5;0.4;3.0;0.573;0.351;0.749;9.4;0.181;4.1;0.7;101;2013
3;4;Joakim Noah;27;CHI;13.0;107.0;605;0.177;66;36.8;11.9;11.1;4.0;1.2;2.1;0.481;0.0;0.751;7.3;0.145;4.7;2.7;99;2013
4;5;Tony Allen;31;MEM;9.0;102.0;605;0.169;79;26.7;8.9;4.6;1.2;1.5;0.6;0.445;0.125;0.717;5.1;0.115;4.1;2.4;98;2013
5;6;Tim Duncan;36;SAS;11.0;94.0;605;0.155;69;30.1;17.8;9.9;2.7;0.7;2.7;0.502;0.286;0.817;8.3;0.191;4.9;2.9;95;2013
6;7;Larry Sanders;24;MIL;4.0;90.0;605;0.149;71;27.3;9.8;9.5;1.2;0.7;2.8;0.506;0.0;0.618;6.0;0.149;3.7;2.0;99;2013
