;Rank;Player;Age;Tm;First;Pts Won;Pts Max;Share;G;MP;PTS;TRB;AST;STL;BLK;FG%;3P%;FT%;WS;WS/48;DWS;DBPM;DRtg;
8;8T;Maurice Cheeks;31;PHI;1.0;1.0;80;0.013;79;36.3;13.7;3.2;8.0;2.1;0.3;0.495;0.136;0.825;8.3;0.138;2.2;0.8;110;1988
9;8T;Clyde Drexler;25;POR;1.0;1.0;80;0.013;81;37.8;27.0;6.6;5.8;2.5;0.6;0.506;0.212;0.811;13.2;0.207;3.9;1.4;106;1988
10;8T;Bob Hansen;27;UTA;1.0;1.0;80;0.013;81;22.2;9.6;2.3;2.2;0.8;0.1;0.517;0.33;0.743;4.4;0.118;2.1;0.3;107;1988
11;8T;Nate McMillan;23;SEA;1.0;1.0;80;0.013;82;29.9;7.6;4.1;8.6;2.1;0.6;0.474;0.375;0.707;6.5;0.127;3.1;1.9;106;1988
12;8T;Sam Perkins;26;DAL;1.0;1.0;80;0.013;75;33.3;14.2;8.0;1.6;1.0;0.7;0.45;0.167;0.822;6.7;0.128;3.0;0.0;107;1988
13;8T;Paul Pressey;29;MIL;1.0;1.0;80;0.013;75;33.1;13.1;5.0;7.0;1.5;0.5;0.491;0.205;0.798;7.1;0.136;2.7;1.3;108;1988
14;8T;Dennis Rodman;26;DET;1.0;1.0;80;0.013;82;26.2;11.6;8.7;1.3;0.9;0.5;0.561;0.294;0.535;6.8;0.153;3.6;0.4;103;1988
15;8T;John Stockton;25;UTA;1.0;1.0;80;0.013;82;34.7;14.7;2.9;13.8;3.0;0.2;0.574;0.358;0.84;14.1;0.238;4.9;3.3;102;1988
0;1;Mark Eaton;32;UTA;26.0;26.0;85;0.306;82;35.5;6.2;10.3;1.0;0.5;3.8;0.462;;0.66;6.6;0.108;6.5;3.1;98;1989
1;2;Hakeem Olajuwon;26;HOU;25.0;25.0;85;0.294;82;36.9;24.8;13.5;1.8;2.6;3.4;0.508;0.0;0.696;12.4;0.197;7.8;2.9;95;1989
2;3;Dennis Rodman;27;DET;23.0;23.0;85;0.271;82;26.9;9.0;9.4;1.2;0.7;0.9;0.595;0.231;0.626;8.1;0.175;3.9;1.1;102;1989
3;4;Manute Bol;26;GSW;4.0;4.0;85;0.047;80;22.1;3.9;5.8;0.3;0.1;4.3;0.369;0.22;0.606;1.7;0.046;2.8;3.2;103;1989
4;5;Michael Jordan;25;CHI;3.0;3.0;85;0.035;81;40.2;32.5;8.0;8.0;2.9;0.8;0.538;0.276;0.85;19.8;0.292;5.2;3.4;103;1989
5;6;Patrick Ewing;26;NYK;2.0;2.0;85;0.024;80;36.2;22.7;9.3;2.4;1.5;3.5;0.567;0.0;0.746;10.9;0.181;4.7;2.3;103;1989
6;7T;Fat Lever;28;DEN;1.0;1.0;85;0.012;71;38.7;19.8;9.3;7.9;2.7;0.3;0.457;0.348;0.785;9.2;0.161;4.2;1.8;104;1989
7;7T;Buck Williams;28;NJN;1.0;1.0;85;0.012;74;33.1;13.0;9.4;1.1;0.8;0.5;0.531;0.0;0.666;5.2;0.101;2.1;-0.8;109;1989
0;1;Dennis Rodman;28;DET;49.0;49.0;92;0.533;82;29.0;8.8;9.7;0.9;0.6;0.7;0.581;0.111;0.654;9.3;0.189;4.4;0.9;101;1990
1;2;Hakeem Olajuwon;27;HOU;35.0;35.0;92;0.38;82;38.1;24.3;14.0;2.9;2.1;4.6;0.501;0.167;0.713;11.2;0.173;8.7;4.0;93;1990
2;3T;Joe Dumars;26;DET;2.0;2.0;92;0.022;75;34.4;17.8;2.8;4.9;0.8;0.0;0.48;0.4;0.9;8.7;0.162;3.0;0.3;107;1990
3;3T;Derek Harper;28;DAL;2.0;2.0;92;0.022;82;36.7;18.0;3.0;7.4;2.3;0.3;0.488;0.371;0.794;9.9;0.158;3.6;1.4;107;1990
4;5T;Mark Eaton;33;UTA;1.0;1.0;92;0.011;82;27.8;4.8;7.3;0.5;0.4;2.5;0.527;;0.669;5.3;0.112;3.9;2.1;102;1990
5;5T;Patrick Ewing;27;NYK;1.0;1.0;92;0.011;82;38.6;28.6;10.9;2.2;1.0;4.0;0.551;0.25;0.775;13.5;0.205;5.3;1.8;103;1990
6;5T;Michael Jordan;26;CHI;1.0;1.0;92;0.011;82;39.0;33.6;6.9;6.3;2.8;0.7;0.526;0.376;0.848;19.0;0.285;4.3;2.1;106;1990
7;5T;Alvin Robertson;27;MIL;1.0;1.0;92;0.011;81;32.1;14.2;6.9;5.5;2.6;0.2;0.503;0.154;0.741;7.5;0.138;3.9;2.0;104;1990
0;1;Dennis Rodman;29;DET;51.0;51.0;96;0.531;82;33.5;8.2;12.5;1.0;0.8;0.7;0.493;0.2;0.631;8.7;0.151;5.2;0.7;101;1991
1;2;David Robinson;25;SAS;18.0;18.0;96;0.188;82;37.7;25.6;13.0;2.5;1.5;3.9;0.552;0.143;0.762;17.0;0.264;7.6;3.3;96;1991
2;3;Alvin Robertson;28;MIL;15.0;15.0;96;0.156;81;32.1;13.6;5.7;5.5;3.0;0.2;0.485;0.365;0.757;7.7;0.142;4.3;2.8;103;1991
3;4;Joe Dumars;27;DET;3.0;3.0;96;0.031;80;38.1;20.4;2.3;5.5;1.1;0.1;0.481;0.311;0.89;9.9;0.155;3.1;0.1;108;1991
4;5T;Hakeem Olajuwon;28;HOU;2.0;2.0;96;0.021;56;36.8;21.2;13.8;2.3;2.2;3.9;0.508;0.0;0.769;8.6;0.201;5.7;4.0;93;1991
5;5T;Buck Williams;30;POR;2.0;2.0;96;0.021;80;32.3;11.7;9.4;1.2;0.6;0.6;0.602;;0.705;8.5;0.158;3.9;0.3;104;1991
6;7T;Patrick Ewing;28;NYK;1.0;1.0;96;0.01;81;38.3;26.6;11.2;3.0;1.0;3.2;0.514;0.0;0.745;10.0;0.155;5.6;1.7;101;1991
7;7T;Derek Harper;29;DAL;1.0;1.0;96;0.01;77;37.4;19.7;3.0;7.1;1.9;0.2;0.467;0.362;0.731;7.6;0.127;2.0;0.0;111;1991
8;7T;Michael Jordan;27;CHI;1.0;1.0;96;0.01;82;37.0;31.5;6.0;5.5;2.7;1.0;0.539;0.312;0.851;20.3;0.321;5.4;3.2;102;1991
9;7T;Scottie Pippen;25;CHI;1.0;1.0;96;0.01;82;36.8;17.8;7.3;6.2;2.4;1.1;0.52;0.309;0.706;11.2;0.179;5.4;2.5;102;1991
10;7T;John Stockton;28;UTA;1.0;1.0;96;0.01;82;37.8;17.2;2.9;14.2;2.9;0.2;0.507;0.345;0.836;14.0;0.217;4.7;2.5;104;1991
0;1;David Robinson;26;SAS;46.0;46.0;96;0.479;68;37.7;23.2;12.2;2.7;2.3;4.5;0.551;0.125;0.701;13.9;0.26;6.9;4.6;94;1992
1;2;Dennis Rodman;30;DET;39.0;39.0;96;0.406;82;40.3;9.8;18.7;2.3;0.8;0.9;0.539;0.317;0.6;12.6;0.183;7.0;0.9;99;1992
2;3T;Michael Jordan;28;CHI;3.0;3.0;96;0.031;80;38.8;30.1;6.4;6.1;2.3;0.9;0.519;0.27;0.832;17.7;0.274;5.6;2.5;102;1992
3;3T;Scottie Pippen;26;CHI;3.0;3.0;96;0.031;82;38.6;21.0;7.7;7.0;1.9;1.1;0.506;0.2;0.76;12.7;0.192;5.5;2.0;102;1992
4;5;Joe Dumars;28;DET;2.0;2.0;96;0.021;82;38.9;19.9;2.3;4.6;0.9;0.1;0.448;0.408;0.867;8.2;0.123;2.5;-0.5;110;1992
5;6T;Karl Malone;28;UTA;1.0;1.0;96;0.01;81;37.7;28.0;11.2;3.0;1.3;0.6;0.526;0.176;0.778;15.1;0.237;5.2;0.6;103;1992
6;6T;Hakeem Olajuwon;29;HOU;1.0;1.0;96;0.01;70;37.7;21.6;12.1;2.2;1.8;4.3;0.502;0.0;0.766;9.8;0.178;5.6;3.0;99;1992
7;6T;Buck Williams;31;POR;1.0;1.0;96;0.01;80;31.5;11.3;8.8;1.4;0.8;0.5;0.604;0.0;0.754;9.2;0.175;3.8;0.5;104;1992
0;1;Hakeem Olajuwon;30;HOU;73.0;73.0;98;0.745;82;39.5;26.1;13.0;3.5;1.8;4.2;0.529;0.0;0.779;15.8;0.234;8.0;3.6;96;1993
1;2T;Michael Jordan;29;CHI;9.0;9.0;98;0.092;78;39.3;32.6;6.7;5.5;2.8;0.8;0.495;0.352;0.837;17.2;0.27;5.2;2.6;102;1993
2;2T;David Robinson;27;SAS;9.0;9.0;98;0.092;82;39.2;23.4;11.7;3.7;1.5;3.2;0.501;0.176;0.732;13.2;0.197;6.4;2.7;100;1993
3;4;Dennis Rodman;31;DET;3.0;3.0;98;0.031;62;38.9;7.5;18.3;1.6;0.8;0.7;0.427;0.205;0.534;5.5;0.11;4.1;0.2;102;1993
4;5T;Patrick Ewing;30;NYK;1.0;1.0;98;0.01;81;37.1;24.2;12.1;1.9;0.9;2.0;0.503;0.143;0.719;10.6;0.17;8.1;2.0;94;1993
5;5T;Dan Majerle;27;PHO;1.0;1.0;98;0.01;82;39.0;16.9;4.7;3.8;1.7;0.4;0.464;0.381;0.778;9.8;0.147;3.2;0.4;108;1993
6;5T;Charles Oakley;29;NYK;1.0;1.0;98;0.01;82;27.2;6.9;8.6;1.5;1.0;0.2;0.508;0.0;0.722;7.3;0.157;5.1;1.9;98;1993
7;5T;John Starks;27;NYK;1.0;1.0;98;0.01;80;31.0;17.5;2.6;5.1;1.1;0.2;0.428;0.321;0.795;7.5;0.145;4.2;0.9;103;1993
0;1;Hakeem Olajuwon;31;HOU;23.0;23.0;101;0.228;80;41.0;27.3;11.9;3.6;1.6;3.7;0.528;0.421;0.716;14.3;0.21;7.9;3.3;95;1994
1;2;David Robinson;28;SAS;22.0;22.0;101;0.218;80;40.5;29.8;10.7;4.8;1.7;3.3;0.507;0.345;0.749;20.0;0.296;6.7;3.8;98;1994
2;3;Dikembe Mutombo;27;DEN;19.0;19.0;101;0.188;82;34.8;12.0;11.8;1.5;0.7;4.1;0.569;0.0;0.583;9.4;0.158;6.4;3.0;96;1994
3;4;Scottie Pippen;28;CHI;11.0;11.0;101;0.109;72;38.3;22.0;8.7;5.6;2.9;0.8;0.491;0.32;0.66;11.2;0.194;6.0;3.2;97;1994
4;5;Gary Payton;25;SEA;9.0;9.0;101;0.089;82;35.1;16.5;3.3;6.0;2.3;0.2;0.504;0.278;0.595;9.3;0.155;4.1;1.3;103;1994
5;6;Dennis Rodman;32;SAS;8.0;8.0;101;0.079;79;37.8;4.7;17.3;2.3;0.7;0.4;0.534;0.208;0.52;8.7;0.14;5.4;0.3;100;1994
6;7T;Mookie Blaylock;26;ATL;3.0;3.0;101;0.03;81;36.0;13.8;5.2;9.7;2.6;0.5;0.411;0.334;0.73;10.2;0.168;5.3;2.3;100;1994
7;7T;Nate McMillan;29;SEA;3.0;3.0;101;0.03;73;25.8;6.0;3.9;5.3;3.0;0.3;0.447;0.391;0.564;6.0;0.154;4.5;5.5;95;1994
8;9;Charles Oakley;30;NYK;2.0;2.0;101;0.02;82;35.8;11.8;11.8;2.7;1.3;0.2;0.478;0.0;0.776;10.5;0.172;6.8;1.5;96;1994
9;10;Horace Grant;28;CHI;1.0;1.0;101;0.01;70;36.7;15.1;11.0;3.4;1.1;1.2;0.524;0.0;0.596;10.0;0.188;4.3;0.9;101;1994
0;1;Dikembe Mutombo;28;DEN;45.0;45.0;105;0.429;82;37.8;11.5;12.5;1.4;0.5;3.9;0.556;;0.654;8.7;0.135;5.2;1.8;103;1995
1;2;Scottie Pippen;29;CHI;16.0;16.0;105;0.152;79;38.2;21.4;8.1;5.2;2.9;1.1;0.48;0.345;0.716;11.8;0.188;6.7;3.0;98;1995
2;3;Hakeem Olajuwon;32;HOU;13.0;13.0;105;0.124;72;39.6;27.8;10.8;3.5;1.8;3.4;0.517;0.188;0.756;10.7;0.181;5.6;2.6;100;1995
3;4;David Robinson;29;SAS;12.0;12.0;105;0.114;81;38.0;27.6;10.8;2.9;1.7;3.2;0.53;0.3;0.774;17.5;0.273;6.7;3.2;99;1995
4;5;Dennis Rodman;33;SAS;11.0;11.0;105;0.105;49;32.0;7.1;16.8;2.0;0.6;0.5;0.571;0.0;0.676;5.8;0.178;3.2;0.4;100;1995
5;6T;Derrick McKey;28;IND;2.0;2.0;105;0.019;81;34.6;13.3;4.9;3.4;1.5;0.6;0.493;0.36;0.744;7.4;0.127;3.9;1.6;105;1995
6;6T;Nate McMillan;30;SEA;2.0;2.0;105;0.019;80;25.9;5.2;3.8;5.3;2.1;0.7;0.418;0.342;0.586;5.1;0.119;3.6;3.8;103;1995
7;6T;Alonzo Mourning;24;CHH;2.0;2.0;105;0.019;77;38.2;21.3;9.9;1.4;0.6;2.9;0.519;0.324;0.761;9.4;0.153;5.1;0.9;102;1995
8;6T;Gary Payton;26;SEA;2.0;2.0;105;0.019;82;36.8;20.6;3.4;7.1;2.5;0.2;0.509;0.302;0.716;11.7;0.187;3.5;0.8;107;1995
0;1;Gary Payton;27;SEA;56.0;56.0;113;0.496;81;39.0;19.3;4.2;7.5;2.9;0.2;0.484;0.328;0.748;11.5;0.174;5.6;1.8;102;1996
1;2;Scottie Pippen;30;CHI;15.0;15.0;113;0.133;77;36.7;19.4;6.4;5.9;1.7;0.7;0.463;0.374;0.679;12.3;0.209;5.3;1.7;101;1996
2;3;Dikembe Mutombo;29;DEN;11.0;11.0;113;0.097;74;36.7;11.0;11.8;1.5;0.5;4.5;0.499;0.0;0.695;7.6;0.134;5.0;2.8;101;1996
3;4;David Robinson;30;SAS;9.0;9.0;113;0.08;82;36.8;25.0;12.2;3.0;1.4;3.3;0.516;0.333;0.761;18.3;0.29;7.2;3.1;96;1996
4;5;Hakeem Olajuwon;33;HOU;8.0;8.0;113;0.071;72;38.8;26.9;10.9;3.6;1.6;2.9;0.514;0.214;0.724;9.7;0.166;5.2;2.0;101;1996
5;6;Michael Jordan;32;CHI;7.0;7.0;113;0.062;82;37.7;30.4;6.6;4.3;2.2;0.5;0.495;0.427;0.834;20.4;0.317;6.2;2.2;100;1996
6;7;Dennis Rodman;34;CHI;4.0;4.0;113;0.035;64;32.6;5.5;14.9;2.5;0.6;0.4;0.48;0.111;0.528;6.2;0.143;4.6;0.3;98;1996
7;8T;Horace Grant;30;ORL;1.0;1.0;113;0.009;63;36.3;13.4;9.2;2.7;1.0;1.2;0.513;0.167;0.734;8.0;0.169;3.1;0.6;105;1996
8;8T;Bo Outlaw;24;LAC;1.0;1.0;113;0.009;80;12.3;3.6;2.5;0.6;0.6;1.1;0.575;0.0;0.444;2.3;0.111;1.2;2.4;106;1996
9;8T;Latrell Sprewell;25;GSW;1.0;1.0;113;0.009;78;39.3;18.9;4.9;4.2;1.6;0.6;0.428;0.323;0.789;5.5;0.086;1.9;-0.6;111;1996
0;1;Dikembe Mutombo;30;ATL;60.0;60.0;115;0.522;80;37.2;13.3;11.6;1.4;0.6;3.3;0.527;;0.705;11.3;0.183;6.6;2.4;97;1997
1;2;Gary Payton;28;SEA;25.0;25.0;115;0.217;82;39.2;21.8;4.6;7.1;2.4;0.2;0.476;0.313;0.715;12.9;0.193;4.7;1.1;103;1997
2;3;Mookie Blaylock;29;ATL;18.0;18.0;115;0.157;78;39.2;17.4;5.3;5.9;2.7;0.3;0.432;0.366;0.753;12.5;0.197;5.6;2.4;100;1997
3;4;Scottie Pippen;31;CHI;4.0;4.0;115;0.035;82;37.7;20.2;6.5;5.7;1.9;0.5;0.474;0.368;0.701;13.1;0.203;5.2;1.4;101;1997
4;5;Michael Jordan;33;CHI;3.0;3.0;115;0.026;82;37.9;29.6;5.9;4.3;1.7;0.5;0.486;0.374;0.833;18.3;0.283;5.0;1.1;102;1997
5;6T;Joe Dumars;33;DET;1.0;1.0;115;0.009;79;37.0;14.7;2.4;4.0;0.7;0.0;0.44;0.432;0.867;8.8;0.144;2.0;-1.0;110;1997
6;6T;Mario Elie;33;HOU;1.0;1.0;115;0.009;78;34.4;11.7;3.0;4.0;1.2;0.2;0.497;0.42;0.896;8.9;0.159;2.6;0.7;107;1997
7;6T;Rick Fox;27;BOS;1.0;1.0;115;0.009;76;34.9;15.4;5.2;3.8;2.2;0.5;0.456;0.363;0.787;5.2;0.094;1.9;0.7;109;1997
8;6T;Horace Grant;31;ORL;1.0;1.0;115;0.009;67;37.3;12.6;9.0;2.4;1.5;1.0;0.515;0.167;0.715;7.7;0.148;3.6;1.3;103;1997
9;6T;Shawn Kemp;27;SEA;1.0;1.0;115;0.009;81;34.0;18.7;10.0;1.9;1.5;1.0;0.51;0.364;0.742;10.0;0.174;5.4;0.3;99;1997
0;1;Dikembe Mutombo;31;ATL;39.0;39.0;116;0.336;82;35.6;13.4;11.4;1.0;0.4;3.4;0.537;;0.67;10.8;0.177;5.2;1.4;99;1998
1;2;Gary Payton;29;SEA;37.0;37.0;116;0.319;82;38.4;19.2;4.6;8.3;2.3;0.2;0.453;0.338;0.744;12.5;0.19;4.0;0.7;103;1998
2;3;David Robinson;32;SAS;10.0;10.0;116;0.086;73;33.7;21.6;10.6;2.7;0.9;2.6;0.511;0.25;0.735;13.8;0.269;6.0;2.9;94;1998
3;4;Michael Jordan;34;CHI;6.0;6.0;116;0.052;82;38.8;28.7;5.8;3.5;1.7;0.5;0.465;0.238;0.784;15.8;0.238;5.4;1.0;100;1998
4;5T;Mookie Blaylock;30;ATL;4.0;4.0;116;0.034;70;38.6;13.2;4.9;6.7;2.6;0.3;0.392;0.269;0.709;5.6;0.099;3.7;1.5;102;1998
5;5T;Tim Duncan;21;SAS;4.0;4.0;116;0.034;82;39.1;21.1;11.9;2.7;0.7;2.5;0.549;0.0;0.662;12.8;0.192;7.2;2.0;95;1998
6;5T;Bo Outlaw;26;ORL;4.0;4.0;116;0.034;82;36.0;9.5;7.8;2.6;1.3;2.2;0.554;0.25;0.575;7.6;0.124;4.5;2.7;101;1998
7;5T;Dennis Rodman;36;CHI;4.0;4.0;116;0.034;80;35.7;4.7;15.0;2.9;0.6;0.2;0.431;0.174;0.55;7.8;0.131;5.9;0.4;97;1998
8;9T;Anthony Mason;31;CHH;2.0;2.0;116;0.017;81;38.9;12.8;10.2;4.2;0.8;0.2;0.509;0.0;0.649;9.3;0.141;3.5;0.6;104;1998
9;9T;Scottie Pippen;32;CHI;2.0;2.0;116;0.017;44;37.5;19.1;5.2;5.8;1.8;1.0;0.447;0.318;0.777;6.6;0.193;3.0;1.6;99;1998
10;11T;Kevin Garnett;21;MIN;1.0;1.0;116;0.009;82;39.3;18.5;9.6;4.2;1.7;1.8;0.491;0.188;0.738;9.6;0.143;4.2;1.5;103;1998
11;11T;Kendall Gill;29;NJN;1.0;1.0;116;0.009;81;33.7;13.4;4.8;2.5;1.9;0.8;0.429;0.257;0.688;5.9;0.104;3.0;1.5;105;1998
12;11T;Horace Grant;32;ORL;1.0;1.0;116;0.009;76;36.9;12.1;8.1;2.3;1.1;1.0;0.459;0.0;0.678;7.1;0.122;3.6;0.8;103;1998
13;11T;Brevin Knight;22;CLE;1.0;1.0;116;0.009;80;31.0;9.0;3.2;8.2;2.5;0.2;0.441;0.0;0.801;8.4;0.163;4.9;3.1;97;1998
0;1;Alonzo Mourning;28;MIA;89.0;89.0;118;0.754;46;38.1;20.1;11.0;1.6;0.7;3.9;0.511;0.0;0.652;7.9;0.216;3.9;2.2;93;1999
1;2;Dikembe Mutombo;32;ATL;10.0;10.0;118;0.085;50;36.6;10.8;12.2;1.1;0.3;2.9;0.512;;0.684;7.9;0.206;4.2;2.5;92;1999
2;3;Gary Payton;30;SEA;6.0;6.0;118;0.051;50;40.2;21.7;4.9;8.7;2.2;0.2;0.434;0.295;0.721;7.2;0.172;1.2;0.0;106;1999
3;4;David Robinson;33;SAS;3.0;3.0;118;0.025;49;31.7;15.8;10.0;2.1;1.4;2.4;0.509;0.0;0.658;8.4;0.261;4.4;3.5;88;1999
4;5T;Tim Duncan;22;SAS;2.0;2.0;118;0.017;50;39.3;21.7;11.4;2.4;0.9;2.5;0.495;0.143;0.69;8.7;0.213;4.7;1.8;91;1999
5;5T;Theo Ratliff;25;PHI;2.0;2.0;118;0.017;50;32.5;11.2;8.1;0.6;0.9;3.0;0.47;;0.725;5.4;0.159;3.3;2.0;94;1999
6;7T;Michael Curry;30;MIL;1.0;1.0;118;0.008;50;22.9;4.9;2.2;1.6;0.8;0.1;0.437;0.067;0.797;1.7;0.07;0.8;0.7;105;1999
7;7T;Kevin Garnett;22;MIN;1.0;1.0;118;0.008;47;37.9;20.8;10.4;4.3;1.7;1.8;0.46;0.286;0.704;5.4;0.146;3.0;1.7;97;1999
8;7T;Eddie Jones;27;TOT;1.0;1.0;118;0.008;50;37.6;15.6;3.9;3.7;2.5;1.2;0.437;0.338;0.782;6.0;0.153;2.2;2.1;101;1999
9;7T;Hakeem Olajuwon;36;HOU;1.0;1.0;118;0.008;50;35.7;18.9;9.6;1.8;1.6;2.5;0.514;0.308;0.717;6.5;0.175;3.3;1.8;96;1999
10;7T;Scottie Pippen;33;HOU;1.0;1.0;118;0.008;50;40.2;14.5;6.5;5.9;2.0;0.7;0.432;0.34;0.721;4.9;0.116;2.3;1.1;101;1999
11;7T;Clifford Robinson;32;PHO;1.0;1.0;118;0.008;50;34.8;16.4;4.5;2.6;1.5;1.2;0.475;0.417;0.697;5.3;0.146;1.7;0.6;103;1999
0;1;Alonzo Mourning;29;MIA;62.0;62.0;121;0.512;79;34.8;21.7;9.5;1.6;0.5;3.7;0.551;0.0;0.711;12.9;0.226;5.6;2.2;96;2000
1;2;Shaquille O'Neal;27;LAL;21.0;21.0;121;0.174;79;40.0;29.7;13.6;3.8;0.5;3.0;0.574;0.0;0.524;18.6;0.283;7.0;2.0;95;2000
2;3T;Eddie Jones;28;CHH;11.0;11.0;121;0.091;72;39.0;20.1;4.8;4.2;2.7;0.7;0.427;0.375;0.864;10.1;0.172;4.4;2.0;100;2000
3;3T;Dikembe Mutombo;33;ATL;11.0;11.0;121;0.091;82;36.4;11.5;14.1;1.3;0.3;3.3;0.562;;0.708;9.9;0.16;4.3;1.5;101;2000
4;5T;Kobe Bryant;21;LAL;4.0;4.0;121;0.033;66;38.2;22.5;6.3;4.9;1.6;0.9;0.468;0.319;0.821;10.6;0.202;4.5;1.6;98;2000
5;5T;Gary Payton;31;SEA;4.0;4.0;121;0.033;82;41.8;24.2;6.5;8.9;1.9;0.2;0.448;0.34;0.735;13.9;0.195;3.5;0.7;104;2000
6;7;Kevin Garnett;23;MIN;2.0;2.0;121;0.017;81;40.0;22.9;11.8;5.0;1.5;1.6;0.497;0.37;0.765;11.6;0.172;5.6;1.7;99;2000
7;8T;Kendall Gill;31;NJN;1.0;1.0;121;0.008;76;31.0;13.1;3.7;2.8;1.8;0.5;0.414;0.256;0.71;3.7;0.076;2.1;0.7;105;2000
8;8T;Jason Kidd;26;PHO;1.0;1.0;121;0.008;67;39.0;14.3;7.2;10.1;2.0;0.4;0.409;0.337;0.829;8.5;0.156;4.8;2.0;98;2000
9;8T;Anthony Mason;33;CHH;1.0;1.0;121;0.008;82;38.2;11.6;8.5;4.5;0.9;0.4;0.48;0.0;0.746;8.9;0.136;3.9;0.7;102;2000
10;8T;Bo Outlaw;28;ORL;1.0;1.0;121;0.008;82;28.4;6.0;6.4;3.0;1.4;1.8;0.602;0.0;0.506;6.8;0.14;4.0;3.6;99;2000
11;8T;Scottie Pippen;34;POR;1.0;1.0;121;0.008;82;33.5;12.5;6.3;5.0;1.4;0.5;0.451;0.327;0.717;7.8;0.137;4.4;1.7;99;2000
12;8T;Clifford Robinson;33;PHO;1.0;1.0;121;0.008;80;35.5;18.5;4.5;2.8;1.1;0.8;0.464;0.37;0.782;9.6;0.162;3.9;0.4;101;2000
0;1;Dikembe Mutombo;34;TOT;48.0;48.0;123;0.39;75;34.5;10.0;13.5;1.0;0.4;2.7;0.484;;0.725;8.1;0.151;4.7;1.3;97;2001
1;2;Kevin Garnett;24;MIN;26.0;26.0;123;0.211;81;39.5;22.0;11.4;5.0;1.4;1.8;0.477;0.288;0.764;11.8;0.176;4.8;1.4;99;2001
2;3;Tim Duncan;24;SAS;14.0;14.0;123;0.114;82;38.7;22.2;12.2;3.0;0.9;2.3;0.499;0.259;0.618;13.2;0.2;7.1;1.8;94;2001
3;4;Doug Christie;30;SAC;9.0;9.0;123;0.073;81;36.3;12.3;4.4;3.6;2.3;0.6;0.395;0.376;0.897;8.7;0.141;4.4;2.3;99;2001
4;5T;David Robinson;35;SAS;6.0;6.0;123;0.049;80;29.6;14.4;8.6;1.5;1.0;2.5;0.486;0.0;0.747;12.1;0.246;5.7;2.7;92;2001
5;5T;Ben Wallace;26;DET;6.0;6.0;123;0.049;80;34.5;6.4;13.2;1.5;1.3;2.3;0.49;0.25;0.336;7.0;0.121;6.0;2.5;94;2001
6;7;Theo Ratliff;27;PHI;4.0;4.0;123;0.033;50;36.0;12.4;8.3;1.2;0.6;3.7;0.499;;0.76;5.2;0.138;3.5;2.7;96;2001
7;8T;Bruce Bowen;29;MIA;2.0;2.0;123;0.016;82;32.7;7.6;3.0;1.6;1.0;0.6;0.363;0.336;0.609;4.2;0.075;3.7;1.5;100;2001
8;8T;Anthony Mason;34;MIA;2.0;2.0;123;0.016;80;40.7;16.1;9.6;3.1;1.0;0.3;0.482;;0.781;11.6;0.171;5.6;1.1;98;2001
9;8T;Shaquille O'Neal;28;LAL;2.0;2.0;123;0.016;74;39.5;28.7;12.7;3.7;0.6;2.8;0.572;0.0;0.513;14.9;0.245;3.9;0.7;101;2001
10;11T;Kobe Bryant;22;LAL;1.0;1.0;123;0.008;68;40.9;28.5;5.9;5.0;1.7;0.6;0.464;0.305;0.853;11.3;0.196;2.2;-0.3;105;2001
11;11T;Allen Iverson;25;PHI;1.0;1.0;123;0.008;71;42.0;31.1;3.8;4.6;2.5;0.3;0.42;0.32;0.814;11.8;0.19;4.5;1.1;99;2001
12;11T;Jason Kidd;27;PHO;1.0;1.0;123;0.008;77;39.8;16.9;6.4;9.8;2.2;0.3;0.411;0.297;0.814;9.6;0.15;5.4;1.7;97;2001
13;11T;Shawn Marion;22;PHO;1.0;1.0;123;0.008;79;36.2;17.3;10.7;2.0;1.7;1.4;0.48;0.256;0.81;11.7;0.196;6.4;1.8;93;2001
0;1;Ben Wallace;27;DET;116.0;116.0;120;0.967;80;36.5;7.6;13.0;1.4;1.7;3.5;0.531;0.0;0.423;11.6;0.19;7.2;3.3;93;2002
1;2;Kevin Garnett;25;MIN;2.0;2.0;120;0.017;81;39.2;21.2;12.1;5.2;1.2;1.6;0.47;0.319;0.801;12.8;0.194;4.9;1.8;101;2002
2;3T;Kobe Bryant;23;LAL;1.0;1.0;120;0.008;80;38.3;25.2;5.5;5.5;1.5;0.4;0.469;0.25;0.829;12.7;0.199;3.8;0.3;103;2002
3;3T;Dikembe Mutombo;35;PHI;1.0;1.0;120;0.008;80;36.3;11.5;10.8;1.0;0.4;2.4;0.501;;0.764;9.6;0.158;5.5;1.2;98;2002
0;1;Ben Wallace;28;DET;100.0;531.0;585;0.908;73;39.4;6.9;15.4;1.6;1.4;3.2;0.481;0.167;0.45;10.6;0.176;7.9;3.5;90;2003
1;2;Metta World Peace;23;IND;2.0;122.0;585;0.209;69;33.6;15.5;5.2;2.9;2.3;0.7;0.428;0.336;0.736;7.2;0.15;4.1;2.3;98;2003
2;3;Kevin Garnett;26;MIN;8.0;121.0;585;0.207;82;40.5;23.0;13.4;6.0;1.4;1.6;0.502;0.282;0.751;15.6;0.225;5.8;2.4;98;2003
3;4;Tim Duncan;26;SAS;2.0;90.0;585;0.154;81;39.3;23.3;12.9;3.9;0.7;2.9;0.513;0.273;0.71;16.5;0.248;6.9;2.5;94;2003
