;Rank;Player;Age;Tm;First;Pts Won;Pts Max;Share;G;MP;PTS;TRB;AST;STL;BLK;FG%;3P%;FT%;WS;WS/48;
5;6;Kevin Garnett;19;MIN;1.0;1.0;113;0.009;80;28.7;10.4;6.3;1.8;1.1;1.6;0.491;0.286;0.705;4.4;0.092;1996
0;1;Allen Iverson;21;PHI;44.0;44.0;115;0.383;76;40.1;23.5;4.1;7.5;2.1;0.3;0.416;0.341;0.702;4.1;0.065;1997
1;2;Stephon Marbury;19;MIN;35.0;35.0;115;0.304;67;34.7;15.8;2.7;7.8;1.0;0.3;0.408;0.354;0.727;3.7;0.077;1997
2;3;Shareef Abdur-Rahim;20;VAN;25.0;25.0;115;0.217;80;35.0;18.7;6.9;2.2;1.0;1.0;0.453;0.259;0.746;2.9;0.049;1997
3;4;Antoine Walker;20;BOS;6.0;6.0;115;0.052;82;36.2;17.5;9.0;3.2;1.3;0.6;0.425;0.327;0.631;1.7;0.027;1997
4;5;Kerry Kittles;22;NJN;5.0;5.0;115;0.043;82;36.7;16.4;3.9;3.0;1.9;0.4;0.426;0.377;0.771;6.9;0.11;1997
0;1;Tim Duncan;21;SAS;113.0;113.0;116;0.974;82;39.1;21.1;11.9;2.7;0.7;2.5;0.549;0.0;0.662;12.8;0.192;1998
1;2;Keith Van Horn;22;NJN;3.0;3.0;116;0.026;62;37.5;19.7;6.6;1.7;1.0;0.4;0.426;0.308;0.846;4.8;0.098;1998
0;1;Vince Carter;22;TOR;113.0;113.0;118;0.958;50;35.2;18.3;5.7;3.0;1.1;1.5;0.45;0.288;0.761;5.0;0.136;1999
1;2;Jason Williams;23;SAC;3.0;3.0;118;0.025;50;36.1;12.8;3.1;6.0;1.9;0.0;0.374;0.31;0.752;2.1;0.055;1999
2;3;Paul Pierce;21;BOS;2.0;2.0;118;0.017;48;34.0;16.5;6.4;2.4;1.7;1.0;0.439;0.412;0.713;4.9;0.144;1999
0;1T;Elton Brand;20;CHI;58.0;58.0;121;0.479;81;37.0;20.1;10.0;1.9;0.8;1.6;0.482;0.0;0.685;7.5;0.121;2000
1;1T;Steve Francis;22;HOU;58.0;58.0;121;0.479;77;36.1;18.0;5.3;6.6;1.5;0.4;0.445;0.345;0.786;6.4;0.111;2000
2;3;Lamar Odom;20;LAC;3.0;3.0;121;0.025;76;36.4;16.6;7.8;4.2;1.2;1.3;0.438;0.36;0.719;3.2;0.055;2000
3;4;Andre Miller;23;CLE;2.0;2.0;121;0.017;82;25.5;11.1;3.4;5.8;1.0;0.2;0.449;0.204;0.774;5.3;0.122;2000
0;1;Mike Miller;20;ORL;75.0;75.0;124;0.605;82;29.1;11.9;4.0;1.7;0.6;0.2;0.436;0.407;0.711;5.3;0.106;2001
1;2;Kenyon Martin;23;NJN;36.0;36.0;124;0.29;68;33.4;12.0;7.4;1.9;1.1;1.7;0.445;0.091;0.63;2.1;0.044;2001
2;3;Marc Jackson;26;GSW;7.0;7.0;124;0.056;48;29.4;13.2;7.5;1.2;0.7;0.6;0.467;0.217;0.802;2.6;0.089;2001
3;4T;Darius Miles;19;LAC;3.0;3.0;124;0.024;81;26.3;9.4;5.9;1.2;0.6;1.5;0.505;0.053;0.521;3.0;0.068;2001
4;4T;Morris Peterson;23;TOR;3.0;3.0;124;0.024;80;22.6;9.3;3.2;1.3;0.8;0.3;0.431;0.382;0.717;3.6;0.096;2001
0;1;Pau Gasol;21;MEM;117.0;117.0;126;0.929;82;36.7;17.6;8.9;2.7;0.5;2.1;0.518;0.2;0.709;7.6;0.121;2002
1;2;Richard Jefferson;21;NJN;3.0;3.0;126;0.024;79;24.3;9.4;3.7;1.8;0.8;0.6;0.457;0.232;0.713;4.7;0.117;2002
2;3T;Andrei Kirilenko;20;UTA;2.0;2.0;126;0.016;82;26.2;10.7;4.9;1.1;1.4;1.9;0.45;0.25;0.768;7.3;0.164;2002
3;3T;Jason Richardson;21;GSW;2.0;2.0;126;0.016;80;32.9;14.4;4.3;3.0;1.3;0.4;0.426;0.333;0.671;2.9;0.052;2002
4;3T;Jamaal Tinsley;23;IND;2.0;2.0;126;0.016;80;30.5;9.4;3.7;8.1;1.7;0.5;0.38;0.24;0.704;1.7;0.033;2002
0;1;Amar'e Stoudemire;20;PHO;59.0;458.0;585;0.783;82;31.3;13.5;8.8;1.0;0.8;1.1;0.472;0.2;0.661;6.2;0.116;2003
1;2;Yao Ming;22;HOU;45.0;405.0;585;0.692;82;29.0;13.5;8.2;1.7;0.4;1.8;0.498;0.5;0.811;8.7;0.176;2003
2;3;Caron Butler;22;MIA;13.0;179.0;585;0.306;78;36.6;15.4;5.1;2.7;1.8;0.4;0.416;0.318;0.824;5.1;0.086;2003
3;4;Manu Ginóbili;25;SAS;0.0;5.0;585;0.009;69;20.7;7.6;2.3;2.0;1.4;0.2;0.438;0.345;0.737;4.2;0.141;2003
4;5;Drew Gooden;21;TOT;0.0;3.0;585;0.005;70;26.8;12.5;6.5;1.2;0.8;0.5;0.457;0.292;0.712;1.7;0.043;2003
